Tamer 1|Action Button|femaleblack.png|Left|Slow Random|12|17||Display Message	I really love it around here.^80-06.png~Display Message	Free drink and a nice warm fire. All I have to do is battle once and a while.^80-06.png~
Tamer 2|Action Button|femalegolden.png|Left|Slow Random|37|15||Display Message	I'm battling in F class. Its my first time and I'm soo nervous!^80-09.png~
Tamer 3|Action Button|malebrown.png|Left|Slow Random|7|11||Display Message	Should I send out Fire Monsters First and then Water... I have no idea!^80-29.png~
Tamer 4|Action Button|Zombie.png|Down|Still|9|14||Display Message	Do you like my Zombie Costume? I like to wear it to all the tornaments.^~
Tamer 5|Action Button|maleblue2.png|Up|Still|14|12||Display Message	There is never anything on TV here.^~
Tamer 6|Action Button|femalegreen.png|Left|Still|8|18||Display Message	I think I'm going to be sick!^~
Helper 1|Action Button|maleblue.png|Down|Still|29|12||Display Message	You can use this computer to re-arrange your monsters if you want to.^80-07.png~
Warp Cave 2|Walk Over||Left|Still|17|29||Fade Out	~Relocate User	cave1.tmx^8^15~Change Weather	Night~Set Zone	Caves 01^~Fade In	~
Warp Cave 1|Walk Over||Left|Still|16|29||Call Event	Warp Cave 2~
PC|Action Button||Left|Still|30|10||Display Message	Welcome to the GeoSociety Corporate Intranet.^~Ask Question - Two Answers	Would you like to rearrange your monsters?^Yes^No~IF	Global Variable^SYSYesNoAnswer^T~Monster Selection	~ELSE	~END IF	~Display Message	Your Monsters have been completely healed.^~Full Restore	~
Menu Man F|Action Button|maleblue.png|Down|Still|22|4|Global Variable^SYS.TORN.E.UNLOCKED^F~|Ask Question - Two Answers	Would you like to enter a Tornament?^Yes^No~IF	Global Variable^SYSYesNoAnswer^T~Display Message	Based on your Current Rank you may enter a Class F Tornament. It will cost 1000 Coin.^80-07.png~Ask Question - Two Answers	Would you like to proceed?^Yes^No~IF	Global Variable^SYSYesNoAnswer^T~IF	Coin Held^Equal or Greater Than^1000~Display Message	Very Well. Your match starts in 10 Minutes.^80-07.png~Fade Out	~Change Coin	REMOVE^1000~Relocate User	BattleTheatre2.tmx^25^12~ELSE	~Display Message	It appears you do not have enough Coin Sir.^80-07.png~END IF	~ELSE	~Display Message	Come back when you are ready.^80-07.png~END IF	~ELSE	~Display Message	Come back when you are ready.^80-07.png~END IF	~
Menu Man E|Action Button|maleblue.png|Down|Still|22|4|Global Variable^SYS.TORN.D.UNLOCKED^F~Global Variable^SYS.TORN.E.UNLOCKED^T~|IF	Global Variable^M2.Completed^T~Ask Question - Two Answers	Would you like to enter a Tornament?^Yes^No~IF	Global Variable^SYSYesNoAnswer^T~Display Message	Based on your Current Rank you may enter a Class E Tornament. It will cost 2000 Coin.^80-07.png~Ask Question - Two Answers	Would you like to proceed?^Yes^No~IF	Global Variable^SYSYesNoAnswer^T~IF	Coin Held^Equal or Greater Than^2000~Display Message	Very Well. Your match starts in 10 Minutes.^80-07.png~Fade Out	~Change Coin	REMOVE^1000~Change Coin	REMOVE^2000~Relocate User	BattleTheatre2.tmx^25^12~ELSE	~Display Message	It appears you do not have enough Coin Sir.^80-07.png~END IF	~ELSE	~Display Message	Come back when you are ready.^80-07.png~END IF	~ELSE	~Display Message	Come back when you are ready.^80-07.png~END IF	~ELSE	~Display Message	I'm sorry sir but we are still preparing the arena for the E class tornament. ^80-07.png~Display Message	If you work for GeoSociety you probably have work to do!^80-07.png~END IF	~
Man Warp Home|Action Button|maleblue.png|Down|Still|31|12||Ask Question - Two Answers	Would you like a ride home?^Yes^No~IF	Global Variable^SYSYesNoAnswer^T~Relocate User	home.tmx^18^15~ELSE	~END IF	~
Menu Man D|Action Button|maleblue.png|Down|Still|22|4|Global Variable^SYS.TORN.C.UNLOCKED^F~Global Variable^SYS.TORN.D.UNLOCKED^T~|IF	Global Variable^M3.Completed^T~Ask Question - Two Answers	Would you like to enter a Tornament?^Yes^No~IF	Global Variable^SYSYesNoAnswer^T~Display Message	Based on your Current Rank you may enter a Class D Tornament. It will cost 5000 Coin.^80-07.png~Ask Question - Two Answers	Would you like to proceed?^Yes^No~IF	Global Variable^SYSYesNoAnswer^T~IF	Coin Held^Equal or Greater Than^5000~Display Message	Very Well. Your match starts in 10 Minutes.^80-07.png~Fade Out	~Change Coin	REMOVE^1000~Change Coin	REMOVE^5000~Relocate User	BattleTheatre2.tmx^25^12~ELSE	~Display Message	It appears you do not have enough Coin Sir.^80-07.png~END IF	~ELSE	~Display Message	Come back when you are ready.^80-07.png~END IF	~ELSE	~Display Message	Come back when you are ready.^80-07.png~END IF	~ELSE	~Display Message	I'm sorry sir but we are still preparing the arena for the E class tornament. ^80-07.png~Display Message	If you work for GeoSociety you probably have work to do!^80-07.png~END IF	~
