Warp to GeoSociety 1|Walk Over||Left|Still|21|34||Play Sound	Door~Relocate User	GeoSociety.tmx^25^17~
Warp to GeoSociety 2|Walk Over||Left|Still|22|34||Play Sound	Door~Relocate User	GeoSociety.tmx^25^17~
Hall Guard 1|Action Button|maleblue.png|Down|Still|21|13||Display Message	Sorry Sir, I cannot let you pass.^80-07.png~
Hall Guard 2|Action Button|maleblue.png|Down|Still|22|13||Display Message	Sorry Sir, I cannot let you pass.^80-07.png~
Sharks - Pre Mission 1|Action Button|maleorange.png|Left|Still|29|18|Global Variable^hasCompletedMission1^F~|IF	Global Variable^hasCompletedMission1^F~IF	Global Variable^SharksIntroDone^F~Display Message	Kyro! You finally made it. Glad to see you again.^80-10-2.png~Display Message	Looks like you've got yourself a nice office job Sharks.^80-04-2.png~Display Message	Yep, its always busy here though. Speaking of work ...^80-10-1.png~Display Message	I've just been briefed on your first mission.^80-10-3.png~Display Message	Taming GeoThingies right?^80-04-4.png~Display Message	Actually theres a disturbance in one of the GeoRealms. We just need someone to check it out. ^80-10-1.png~Display Message	Come see me when you're good to go.^80-10-3.png~Update Variable	SharksIntroDone^T~ELSE	~Display Message	Good Luck. Are you ready to go?^80-10-3.png~Ask Yes or No	~IF	Global Variable^SYSYesNoAnswer^T~IF	Global Variable^hasRecievedGeoShocksFromSharks^F~Display Message	I forgot to mention earlier that GeoShocks are what we use to tame monsters.^80-10-3.png~Display Message	I'll give you some now to get you started. They will be in the 'ITEM' menu in battles.^80-10-3.png~Display Message	Theres no way of knowing if you've tamed a Monster until the end of the battle.^80-10-3.png~Display Message	So don't use them all at once!^80-10-1.png~Display Message	Also I should tell you that you can only tame a single monster from each battle.^80-10-3.png~Update Variable	hasRecievedGeoShocksFromSharks^T~Change Inventory	1: GeoShock - Basic^ADD^5~ELSE	~END IF	~Display Message	I'll set up the GeoGate now. You wont feel a thing.^80-10-3.png~Relocate User	Mission1a.tmx^26^23~Change Weather	Glare~Set Zone	Mission 1^~Change Music	sunnymellow~ELSE	~Display Message	Ok. Come and see me when your ready.^80-10-3.png~END IF	~END IF	~ELSE	~END IF	~
Walk Over|Walk Over||Left|Still|28|15||Display Message	Kyro! Thats really not a good idea to go near the GeoGate when its not configured.^80-10-2.png~Display Message	Sorry^80-04-2.png~Move Event	USER^Left~Sync All Events	~
GeoSociety Member|View Collision x1|maleblue.png|Left|Still|22|19|Global Variable^hasRecievedFirstMonster^F~|Display Message	Kyro, I have been expecting you.^80-07.png~Display Message	Before you can talk to Sharks about your mission...^80-07.png~Display Message	you need to select your first GeoMonster from the room above.^80-07.png~Display Message	Once you have selected a Monster your GeoGear will activate.^80-07.png~Display Message	You will then be able to save your Progress using the Menu.^80-07.png~Display Message	What are you waiting for?^80-07.png~Move Event	USER^Up~Move Event	USER^Up~Move Event	USER^Up~Move Event	USER^Up~Sync All Events	~Move Event	USER^Left~Move Event	USER^Left~Move Event	USER^Left~Move Event	USER^Left~Move Event	USER^Left~Move Event	USER^Left~Move Event	USER^Left~Move Event	USER^Left~Move Event	USER^Left~Move Event	USER^Left~Move Event	USER^Up~Sync All Events	~Display Message	Hmmm. Big Decision.^80-04-2.png~Display Message	Earth, Fire or Water...^80-04-2.png~Update Variable	isSelectingAMonster^T~Move Event	GeoSociety Member^Down~Move Event	GeoSociety Member^Down~Move Event	GeoSociety Member^Down~Move Event	GeoSociety Member^Down~Move Event	GeoSociety Member^Hide~
Choosing Monster Walk 1|Walk Over||Left|Still|17|14||IF	Global Variable^isSelectingAMonster^T~Display Message	I can't leave yet. I must pick a GeoMonster.^80-04-4.png~Move Event	USER^Left~Sync All Events	~ELSE	~END IF	~
Choosing Monster Walk 2|Walk Over||Left|Still|17|15||IF	Global Variable^isSelectingAMonster^T~Display Message	I can't leave yet. I must pick a GeoMonster.^80-04-4.png~Move Event	USER^Left~Sync All Events	~ELSE	~END IF	~
Grass Monster|Action Button||Left|Still|8|11||IF	Global Variable^isSelectingAMonster^T~Display Message	I could get Tandril the Earth Type Monster.^80-04-2.png~Ask Question - Two Answers	Should I get Tandril?^Yes^No~IF	Global Variable^SYSYesNoAnswer^T~Add Monster	354: Tandril^5^1~Update Variable	isSelectingAMonster^F~Update Variable	hasRecievedFirstMonster^T~Display Message	GeoGear Activated!^~Allow Save	~ELSE	~END IF	~ELSE	~END IF	~
