Warp B 1|Walk Over||Left|Still|47|12||Relocate User	Mission1b.tmx^1^12~
Warp B 2|Walk Over||Left|Still|47|13||Relocate User	Mission1b.tmx^1^13~
GateKeeper|Action Button|DarkTamer.png|Down|Still|15|8|Global Variable^M1.hasWitnessedAttackScene^F~|Display Message	Back off GeoGeek this is our Turf!^~
Angel|Walk Over|femalebrown.png|Right|Still|31|17|Global Variable^M1.hasWitnessedAttackScene^F~|
Dark Tamer 2|Walk Over|DarkTamer.png|Left|Still|33|17|Global Variable^M1.hasWitnessedAttackScene^F~|
Dark Tamer 1|Walk Over|DarkTamer.png|Left|Still|33|16|Global Variable^M1.hasWitnessedAttackScene^F~|
Scene 1|Walk Over||Left|Still|34|14|Global Variable^M1.hasWitnessedAttackScene^F~|Display Message	I don't think you should have been spying on us like that?^80-19.png~Display Message	Do you think she heard anything important?^80-20.png~Display Message	I didn't hear anything. I promise!^80-33-2.png~Display Message	We can't take the chance...^80-19.png~Move Event	Dark Tamer 1^Left~Move Event	Dark Tamer 2^Left~Sync All Events	~Move Event	Angel^Left~Sync All Events	~Move Event	Angel^Face Right~Move Event	USER^Down~Move Event	USER^Down~Move Event	USER^Down~Sync All Events	~Move Event	USER^Face Left~Display Message	Yo Losers!^80-04-2.png~Move Event	Dark Tamer 1^Face Right~Move Event	Dark Tamer 2^Face Right~Display Message	Kyro!^80-33-1.png~Display Message	Angel, We are going to have to fight them!^80-04-4.png~Display Message	I think you have a little too much confidence kid!^80-20.png~Display Message	Lets find out...^80-04-1.png~Move Event	USER^Left~Sync All Events	~Start Battle	False^MON,580,3.MON,575,6.MON,580,3.^MON,624,5.^^^~Display Message	Still think I have too much confidence?^80-04-1.png~Display Message	Sorry Kid, We have to run. ^80-19.png~Display Message	Just count yourself lucky you fought him instead of me!^80-19.png~Move Event	Dark Tamer 1^Right~Move Event	Dark Tamer 1^Right~Sync All Events	~Move Event	Dark Tamer 2^Right~Move Event	Dark Tamer 2^Up~Move Event	Dark Tamer 1^Up~Move Event	Dark Tamer 2^Right~Move Event	Dark Tamer 1^Up~Move Event	Dark Tamer 2^Up~Move Event	Dark Tamer 1^Up~Move Event	Dark Tamer 2^Up~Move Event	Dark Tamer 1^Up~Move Event	Dark Tamer 2^Up~Move Event	Dark Tamer 1^Left~Move Event	Dark Tamer 2^Up~Move Event	Dark Tamer 1^Left~Move Event	Dark Tamer 2^Left~Move Event	Dark Tamer 1^Left~Move Event	Dark Tamer 1^Left~Move Event	Dark Tamer 1^Left~Move Event	Dark Tamer 1^Left~Move Event	Dark Tamer 1^Left~Move Event	Dark Tamer 1^Left~Move Event	Dark Tamer 1^Left~Move Event	Dark Tamer 1^Left~Move Event	Dark Tamer 2^Left~Move Event	Dark Tamer 2^Left~Move Event	Dark Tamer 2^Left~Move Event	Dark Tamer 2^Left~Move Event	Dark Tamer 2^Left~Move Event	Dark Tamer 2^Left~Move Event	Dark Tamer 2^Left~Move Event	Dark Tamer 2^Left~Move Event	Dark Tamer 1^Left~Move Event	Dark Tamer 1^Left~Move Event	Dark Tamer 1^Left~Move Event	Dark Tamer 2^Left~Move Event	Dark Tamer 2^Left~Move Event	Dark Tamer 2^Left~Sync All Events	~Move Event	Dark Tamer 2^Hide~Move Event	Dark Tamer 1^Hide~Display Message	Angel are you alright?^80-04-2.png~Display Message	I've been better.^80-33-1.png~Display Message	Who the hell were they!?^80-04-4.png~Display Message	I honestly don't know. I overheard that they call themselves - Hell's Anvil.^80-33-1.png~Display Message	Hell's Anvil huh? We should probably find out some more about them.^80-04-4.png~Display Message	But this was just an exploritory mission! "Find the problem and report back".^80-33-2.png~Display Message	We've found the problem. So now we should report back.^80-33-1.png~Display Message	I want you to go back anyway. I will push on. These guys don't scare me.^80-04-2.png~Display Message	You're staying!^80-33-2.png~Display Message	Just don't forget that if it gets too tough use your GeoGear to return to base.^80-33-1.png~Display Message	Tap 'Menu' and 'Return to Headquarters'.^80-33-1.png~Display Message	And Kyro...^80-33-1.png~Display Message	Be Carefull!^80-33-3.png~Fade Out	~Update Variable	M1.hasWitnessedAttackScene^T~Move Event	Angel^Hide~Relocate User	Mission1c.tmx^33^17~Fade In	~
Battler 1|View Collision x2|DarkTamer.png|Left|Still|10|6||Start AutoBattle	My boss just ran past in a huff! Think I'm going to be in trouble when I get back.^I'm not ready to battle again yet. Sorry.^false^MON,021,4.MON,015,4.^^^^~
Battler 2|View Collision x1|DarkTamer.png|Right|Still|8|17||Start AutoBattle	You really shouldn't be here Kid!^I'm not ready to battle again yet. Sorry.^false^MON,010,6.MON,575,5.^^^^~
Closing Scene|Walk Over||Left|Still|39|29||Display Message	A House in the GeoRealm.^80-04-2.png~Display Message	Seriously what the hell is going on!^80-04-4.png~Move Event	USER^Up~Move Event	USER^Right~Move Event	USER^Up~Sync All Events	~Display Message	They've abandoned it!^80-04-2.png~Move Event	Boss^Show~Move Event	GeoSociety Member^Show~Sync All Events	~Move Event	Boss^Up~Sync All Events	~Move Event	Boss^Up~Move Event	Boss^Up~Move Event	Boss^Up~Move Event	Boss^Up~Move Event	Boss^Up~Move Event	Boss^Up~Move Event	Boss^Up~Move Event	GeoSociety Member^Up~Move Event	GeoSociety Member^Up~Move Event	GeoSociety Member^Up~Move Event	GeoSociety Member^Up~Move Event	GeoSociety Member^Up~Move Event	GeoSociety Member^Up~Move Event	GeoSociety Member^Up~Sync All Events	~Display Message	You do know that Peeping Tom isn't in your job description?^80-03.png~Move Event	USER^Face Down~Display Message	Backup right? Figures that you'd turn up as they disappear.^80-04-4.png~Display Message	Angel's given me the brief, You haven't done half bad.^80-03.png~Display Message	Return to base for now. We will have a catchup there once we've finished our investigation.^80-03.png~Display Message	Sounds about as close as I'll get to a Job well done.^80-04.png~Display Message	I'll take that.^80-04-3.png~Update Variable	hasCompletedMission1^T~Display Message	Mission Complete^~Display Message	You have been rewarded with 1000 Coin.^~Change Coin	ADD^1000~Quest Completed	~Fade Out	~Change Weather	Normal~Set Zone	^~Relocate User	town.tmx^37^23~Fade In	~Call Event	Sharks - After Mission 1~
