Dark Tamer 1|Action Button|DarkTamer.png|Left|Still|15|41||Display Message	We knew it would only be a matter of time before you showed up again!^~Display Message	And so you'll notice we have improved the security level. ^~Display Message	But you only need to worry about that IF you can beat me.^~Start AutoBattle	Lets see what your Monsters can do!^I'm not ready to battle again yet. Sorry.^false^MON,644,17.MON,252,19.MON,259,12.^MON,566,22.^^^~Move Event	Dark Tamer 1^Hide~
Door 1|Walk Over||Left|Still|36|40||IF	Global Variable^M3.Switch.4^F~IF	Global Variable^M3.Switch.1^T~IF	Global Variable^M3.Switch.3^T~ELSE	~Display Message	The door appears to be locked.^~Move Event	USER^Down~END IF	~ELSE	~Display Message	The door appears to be locked.^~Move Event	USER^Down~END IF	~ELSE	~Display Message	The door appears to be locked.^~Move Event	USER^Down~END IF	~
Door 2|Walk Over||Left|Still|27|13||IF	Global Variable^M3.Switch.1^F~IF	Global Variable^M3.Switch.2^T~ELSE	~Display Message	The door appears to be locked!^~Move Event	USER^Down~END IF	~ELSE	~Display Message	The door appears to be locked!^~Move Event	USER^Down~END IF	~
Door 3|Walk Over||Left|Still|34|13||IF	Global Variable^M3.Switch.1^T~IF	Global Variable^M3.Switch.2^T~IF	Global Variable^M3.Switch.3^F~IF	Global Variable^M3.Switch.4^T~ELSE	~Display Message	The door appears to be locked!^~Move Event	USER^Down~END IF	~ELSE	~Display Message	The door appears to be locked!^~Move Event	USER^Down~END IF	~ELSE	~Display Message	The door appears to be locked.^~Move Event	USER^Down~END IF	~ELSE	~Display Message	The door appears to be locked.^~Move Event	USER^Down~END IF	~
Switch 1|Action Button||Left|Still|10|40||Ask Question - Two Answers	You found a hidden switch. Will you press it?^Yes^No~IF	Global Variable^SYSYesNoAnswer^T~Update Variable	M3.Switch.1^Toogle~Play Sound	Switch~ELSE	~END IF	~
Switch 1 - Trigger|Action Button||Left|Still|11|40||Call Event	Switch 1~
Switch 2 - Fake|Action Button||Left|Still|19|40||Display Message	Notice: All Personel please be on the lookout for intruders.^~
Switch 2 - Fake - Trigger|Action Button||Left|Still|20|40||Call Event	Switch 2 - Fake~
Switch 3|Action Button||Left|Still|32|40||Ask Question - Two Answers	You found a hidden switch, Will you press it?^Yes^No~IF	Global Variable^SYSYesNoAnswer^T~Update Variable	M3.Switch.2^Toogle~Play Sound	Switch~ELSE	~END IF	~
Switch 3 - Trigger|Action Button||Left|Still|33|40||Call Event	Switch 3~
Switch 4 - Fake|Action Button||Left|Still|8|30||Display Message	Notice: We would like to think all members for this months efforts. ^~Display Message	We have mapped out another 10% of the Southern Island.^~Display Message	Still haven't found our primary target.^~
Switch 4 - Fake - Trigger|Action Button||Left|Still|9|30||Call Event	Switch 4 - Fake~
Switch 5|Action Button||Left|Still|21|19||Ask Question - Two Answers	You have found a hidden switch, Will you press it?^Yes^No~IF	Global Variable^SYSYesNoAnswer^T~Update Variable	M3.Switch.3^Toogle~Play Sound	Switch~ELSE	~END IF	~
Switch 5 - Trigger|Action Button||Left|Still|22|19||Call Event	Switch 5~
Switch 6|Action Button||Left|Still|10|16||Ask Question - Two Answers	You have found a hidden switch, will you press it?^Yes^No~IF	Global Variable^SYSYesNoAnswer^T~Play Sound	Switch~Update Variable	M3.Switch.4^Toogle~ELSE	~END IF	~
