Warp to Home|Walk Over||Left|Still|18|27||Play Sound	Door~Relocate User	home.tmx^18^15~
Introduction Step 1|Walk Over||Left|Still|18|29|Global Variable^hasGeoGear^F~|IF	Global Variable^BM1.TalkedToSelf^F~Display Message	Guess I should head over to GeoSociety. I think thats the big building on the right.^80-04-4.png~Update Variable	BM1.TalkedToSelf^T~ELSE	~END IF	~
Too Dangerous 1|View Collision x1|7Jerek.png|Right|Still|18|40|Global Variable^SYS.QUEST.E.UNLOCKED^F~|IF	Global Variable^hasGeoGear^F~Display Message	Hold on Kyro.^80-30.png~Display Message	This path is too dangerous for civilians.^80-30.png~Display Message	Pfft! Whatever^80-04-4.png~Move Event	USER^Up~Sync All Events	~ELSE	~IF	Global Variable^hasCompletedMission1^T~IF	Quests Completed^Equal or Greater Than^5.0~ELSE	~Display Message	You may have proven yourself to the others but you haven't to me yet.^80-30.png~Display Message	I will let you pass...^80-30.png~Display Message	Once you have completed 5 of more F Class Missions!^80-30.png~Move Event	USER^Up~END IF	~ELSE	~Display Message	Actually, I still can't let you pass. Boss's Orders.^80-30.png~Move Event	USER^Up~END IF	~END IF	~
Angel 1|View Collision x1|femalebrown.png|Down|Still|37|23|Global Variable^hasMetAngel^F~|Change Music	HappyPoppyMusic~Display Message	Hi Kyro! Guess What?^80-33-3.png~Display Message	I've just recieved a special mission from GeoSociety. ^80-33-4.png~Display Message	Its a pity you can't come. No civilians allowed and all...^80-33-4.png~Display Message	Well actually Angel, I'm just going into GeoSociety for my first day today.^80-04-1.png~Display Message	You!^80-33-2.png~Display Message	I thought they didn't employ dropouts!^80-33-4.png~Display Message	Out of my way! I've got to get ready.^80-33-4.png~Move Event	USER^Down~Move Event	Angel 1^Down~Sync All Events	~Move Event	Angel 1^Left~Move Event	Angel 1^Down~Move Event	Angel 1^Down~Move Event	Angel 1^Down~Move Event	Angel 1^Down~Move Event	Angel 1^Down~Move Event	Angel 1^Down~Move Event	Angel 1^Left~Move Event	Angel 1^Left~Move Event	Angel 1^Left~Sync All Events	~Update Variable	hasMetAngel^T~Move Event	USER^Up~Move Event	USER^Up~Move Event	Angel 1^Left~Move Event	Angel 1^Left~Move Event	Angel 1^Left~Move Event	Angel 1^Left~Move Event	Angel 1^Left~Sync All Events	~Move Event	Angel 1^Hide~Play Sound	Door~Relocate User	GeoSociety.tmx^22^29~Change Music	NewGameLoop~
Random Person 1|Action Button|6June.png|Left|Slow Random|28|6||IF	Global Variable^M2.Completed^F~Display Message	I just love wildflowers! Look out! your steping on them!^80-06.png~Display Message	Sorry^80-04-2.png~Move Event	USER^Left~Sync All Events	~ELSE	~Display Message	I really miss Sondast sometimes, he was the Son of the GeoSociety Founder Ilast.^80-06.png~Display Message	He was also the love of my life.^80-06.png~END IF	~
Warp GeoSociety|Walk Over||Left|Still|37|22||Play Sound	Door~Relocate User	GeoSociety.tmx^22^29~
Young Girl 2|Action Button|femalegreen.png|Right|Still|30|25||Display Message	Things have certainly become a lot more interesting since these monsters showed up.^80-05-1.png~
Sharks - After Mission 1|Walk Over|maleorange.png|Up|Still|37|24|Global Variable^AM1.SharksShowedShop^F~Global Variable^hasCompletedMission1^T~|Display Message	Good Job Kyro! From what I hear you did very well.^80-10-3.png~Display Message	Thanks Sharks. But uh...^80-04-3.png~Display Message	What did you want to show me?^80-04-2.png~Display Message	Follow Me^80-10-1.png~Move Event	Sharks - After Mission 1^Down~Move Event	Sharks - After Mission 1^Down~Sync All Events	~Move Event	Sharks - After Mission 1^Down~Move Event	Sharks - After Mission 1^Down~Move Event	Sharks - After Mission 1^Down~Move Event	Sharks - After Mission 1^Down~Move Event	Sharks - After Mission 1^Left~Move Event	USER^Down~Move Event	USER^Down~Move Event	USER^Down~Move Event	USER^Down~Move Event	USER^Down~Move Event	USER^Down~Move Event	USER^Down~Sync All Events	~Move Event	Sharks - After Mission 1^Left~Move Event	Sharks - After Mission 1^Left~Sync All Events	~Move Event	Sharks - After Mission 1^Left~Move Event	Sharks - After Mission 1^Left~Move Event	Sharks - After Mission 1^Left~Move Event	Sharks - After Mission 1^Left~Move Event	Sharks - After Mission 1^Left~Move Event	Sharks - After Mission 1^Left~Move Event	Sharks - After Mission 1^Left~Move Event	USER^Left~Move Event	USER^Left~Move Event	USER^Left~Move Event	USER^Left~Move Event	USER^Left~Move Event	USER^Left~Move Event	USER^Left~Move Event	USER^Left~Move Event	USER^Left~Sync All Events	~Move Event	Sharks - After Mission 1^Up~Move Event	Sharks - After Mission 1^Up~Move Event	Sharks - After Mission 1^Up~Move Event	Sharks - After Mission 1^Up~Move Event	USER^Up~Move Event	USER^Up~Move Event	USER^Up~Move Event	USER^Up~Sync All Events	~Display Message	This shop has just opened. ^80-10-3.png~Display Message	Its a specialty shop for GeoTamer Gear. They also buy the treasures you find in the GeoRealm.^80-10-3.png~Display Message	So its a good way to make some money on the side.^80-10-3.png~Display Message	There are two more things I must tell you before you head on your way!^80-10.png~Display Message	You can now use the PC in your room to Check and Rearrange Monsters who are on the Bench.^80-10-3.png~Display Message	Simply enter your House, go upstairs to your room  and press 'Talk' when your next to your Computer.^80-10-3.png~Display Message	And this is for you.^80-10-3.png~Display Message	Online Play Swipe Card Recieved^~Display Message	I better head back, but you should go take a look at the Shop.^80-10-3.png~Display Message	This Swipe Card gives you access to the Online Play Lobby, If you pay the surcharge.^80-10.png~Display Message	You can Trade Monsters with your Friends there. It is the Building North of your House.^80-10-1.png~Move Event	USER^Up~Move Event	USER^Left~Move Event	USER^Up~Sync All Events	~Update Variable	AM1.SharksShowedShop^T~Fade Out	~Relocate User	townShop.tmx^18^15~
Shop Warp|Walk Over||Left|Still|27|24|Global Variable^hasCompletedMission1^T~|Play Sound	Door~Fade Out	~Relocate User	townShop.tmx^18^15~
Shop Warp Pre Mission 1|Walk Over||Left|Still|27|24|Global Variable^hasCompletedMission1^F~|Display Message	The Doors Locked.^~Move Event	USER^Down~
